Date & Time,Albany Calapooia School,Beaverton Highland Park,Carus Spangler Rd.,Corvallis Circle Blvd,Hillsboro Hare Field,Portland SE Lafayette,Salem State Hospital,Sauvie Island,Sweet Home Fire Department,
Date & Time,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,PM2.5L_Est,
Date & Time,ug/m3L,ug/m3L,ug/m3L,ug/m3L,ug/m3L,ug/m3L,ug/m3L,ug/m3L,ug/m3L,
1/1/2013 1:00 AM,17.9,13.3,,14.8,18.5,9.4,18.4,13.8,10.5,
1/1/2013 2:00 AM,16.1,14.8,,17,17.7,8.3,19,12,3.8,
1/1/2013 3:00 AM,14.4,7.4,,17.7,18.2,8.3,24.4,13.3,7.7,
1/1/2013 4:00 AM,14.1,6.7,,18.8,18.1,8.4,20.4,11.5,18,
1/1/2013 5:00 AM,14.2,7,,14.1,17.2,8.7,20.8,8.1,7.1,
1/1/2013 6:00 AM,14.2,6.9,,15.2,13.2,7.9,22.5,8.3,2.4,
1/1/2013 7:00 AM,13.7,6.3,,10.9,6.5,8,21.1,9,2.1,
1/1/2013 8:00 AM,18.7,7.6,,12.7,11.4,9.3,16.1,8.4,4.1,
1/1/2013 9:00 AM,14.9,8.6,,14.1,10.4,8.8,17.3,7.2,10.2,
1/1/2013 10:00 AM,11.8,8.1,,19.9,7.7,8.4,13.7,7.9,4.6,
1/1/2013 11:00 AM,7.9,7.7,,10.2,7,7.8,13.2,5.8,2.7,
1/1/2013 12:00 PM,7.2,7.4,,6.2,7.6,7.5,12.9,7.7,3.5,
1/1/2013 1:00 PM,8,8.8,,6.6,6.5,7.4,13.7,7.9,3.5,
1/1/2013 2:00 PM,7.6,6.9,,6.9,5.5,6.9,14.4,6,4.1,
1/1/2013 3:00 PM,7.8,5.9,,8,6.1,6.8,13.6,6.5,5.8,
1/1/2013 4:00 PM,8.5,5.8,,7.6,7.4,7.1,13.1,7.7,6.6,
1/1/2013 5:00 PM,8.5,6.5,,11.2,10.1,7.5,20.4,8.9,18.5,
1/1/2013 6:00 PM,12.7,7.6,,17,22.5,7.3,21.3,10.3,25.8,
1/1/2013 7:00 PM,14.5,6.8,,17.7,36.6,7.1,19.6,9.4,23.8,
1/1/2013 8:00 PM,37.8,6.3,,21.7,38.1,6.4,22.4,8,51.3,
1/1/2013 9:00 PM,28.6,6.1,,24.6,34.7,6.1,23.4,8.7,26.9,
1/1/2013 10:00 PM,22,5.5,,34.3,31.9,6.3,27.1,8,31.6,
1/1/2013 11:00 PM,20.9,5.9,,34.3,22,7.4,30.7,7.5,17.4,
1/1/2013 24:00 AM,18.3,6.8,,27.5,19.4,8.2,41.4,6.9,23,
1/2/2013 1:00 AM,20.9,7.3,,21.7,21.5,9,20.8,6.9,10.8,
1/2/2013 2:00 AM,17.8,8.3,,19.5,14,9.7,16.5,8.1,17.1,
1/2/2013 3:00 AM,22.8,9.1,,15.6,10.9,10.6,16.9,8.3,16.9,
1/2/2013 4:00 AM,24.7,9.6,,17,13.3,10,15,8.6,9.1,
1/2/2013 5:00 AM,28.7,8.8,,18.1,11.3,9.2,13.2,8.8,8.8,
1/2/2013 6:00 AM,16.9,8.8,,13.4,13.1,10.5,13.4,8.5,8.3,
1/2/2013 7:00 AM,21.1,9.9,,14.8,11.9,12.1,14,8.8,9.9,
1/2/2013 8:00 AM,18.8,10.4,,15.6,11.4,11.8,15.9,8.3,15.2,
1/2/2013 9:00 AM,30.2,9.5,,18.8,13.9,11.1,16.5,8.1,14.6,
1/2/2013 10:00 AM,30.5,9.1,,14.8,15.3,11.4,14.8,9,9.1,
1/2/2013 11:00 AM,14,9.3,,9.8,10,11.4,14.9,9.7,10.5,
1/2/2013 12:00 PM,9,8.6,,9.8,8.3,10,13.1,8.5,8.8,
1/2/2013 1:00 PM,8.7,7.4,,8.7,7.5,9.1,12,7,8,
1/2/2013 2:00 PM,10.7,7.6,,8.4,6.7,9.7,12,6.6,7.1,
1/2/2013 3:00 PM,15.7,8,,7.6,7,9.4,13.6,6.6,7.4,
1/2/2013 4:00 PM,14.4,8,,10.2,7,9.2,,6.8,8,
1/2/2013 5:00 PM,9.2,8.2,,11.6,7.3,8.9,13.1,6,38.8,
1/2/2013 6:00 PM,10.7,7.8,,15.6,7.5,8.4,13.7,6.8,30.2,
1/2/2013 7:00 PM,10,7.8,,31.8,7.5,8.7,15.8,7.2,19.7,
1/2/2013 8:00 PM,10.4,8.3,,43.3,8,9.7,14.2,9.1,40.2,
1/2/2013 9:00 PM,9.2,8.8,,53,8.2,10.2,12.9,12.5,19.9,
1/2/2013 10:00 PM,10.4,9.1,,57.4,7.9,9.9,13.1,11.7,43.3,
